year,series_id,return_decimal
2021,cash,0.000400000000
2022,cash,0.020900000000
2023,cash,0.052800000000
2024,cash,0.051800000000
2025,cash,0.042100000000
1927,technology,0.434400000000
1928,technology,0.417700000000
1929,technology,0.002300000000
1930,technology,-0.264900000000
1931,technology,-0.431900000000
1932,technology,-0.235100000000
1933,technology,0.746600000000
1934,technology,0.295000000000
1935,technology,0.519600000000
1936,technology,0.240800000000
1937,technology,-0.249500000000
1938,technology,0.291200000000
1939,technology,-0.129900000000
1940,technology,-0.115800000000
1941,technology,0.012800000000
1942,technology,0.234800000000
1943,technology,0.223700000000
1944,technology,0.184500000000
1945,technology,0.353700000000
1946,technology,0.028500000000
1947,technology,0.034100000000
1948,technology,0.049800000000
1949,technology,0.296200000000
1950,technology,0.126200000000
1951,technology,0.185800000000
1952,technology,0.088800000000
1953,technology,0.089700000000
1954,technology,0.721200000000
1955,technology,0.212600000000
1956,technology,0.380000000000
1957,technology,0.127600000000
1958,technology,0.688700000000
1959,technology,0.303200000000
1960,technology,0.213300000000
1961,technology,0.315000000000
1962,technology,-0.268900000000
1963,technology,0.284300000000
1964,technology,0.029100000000
1965,technology,0.338800000000
1966,technology,0.082500000000
1967,technology,0.635800000000
1968,technology,-0.007000000000
1969,technology,0.042500000000
1970,technology,-0.206300000000
1971,technology,0.124100000000
1972,technology,0.184100000000
1973,technology,-0.231600000000
1974,technology,-0.343500000000
1975,technology,0.477300000000
1976,technology,0.300200000000
1977,technology,0.004200000000
1978,technology,0.154900000000
1979,technology,0.111600000000
1980,technology,0.318600000000
1981,technology,-0.139200000000
1982,technology,0.437900000000
1983,technology,0.232500000000
1984,technology,-0.076000000000
1985,technology,0.202500000000
1986,technology,-0.041900000000
1987,technology,0.070400000000
1988,technology,0.000100000000
1989,technology,-0.072800000000
1990,technology,-0.021300000000
1991,technology,0.154700000000
1992,technology,0.098900000000
1993,technology,0.254100000000
1994,technology,0.164300000000
1995,technology,0.423400000000
1996,technology,0.330600000000
1997,technology,0.188100000000
1998,technology,0.583500000000
1999,technology,0.862000000000
2000,technology,-0.295500000000
2001,technology,-0.365900000000
2002,technology,-0.415000000000
2003,technology,0.680100000000
2004,technology,-0.021800000000
2005,technology,0.047900000000
2006,technology,0.089500000000
2007,technology,0.159300000000
2008,technology,-0.441900000000
2009,technology,0.586900000000
2010,technology,0.178400000000
2011,technology,-0.024900000000
2012,technology,0.122700000000
2013,technology,0.269900000000
2014,technology,0.248800000000
2015,technology,-0.035100000000
2016,technology,0.177900000000
2017,technology,0.367500000000
2018,technology,-0.030700000000
2019,technology,0.523900000000
2020,technology,0.483300000000
2021,technology,0.383800000000
2022,technology,-0.267700000000
2023,technology,0.509900000000
2024,technology,0.481000000000
2025,technology,0.279800000000
1914,inflation,0.010000000000
1915,inflation,0.019802000000
1916,inflation,0.126213600000
1917,inflation,0.181034500000
1918,inflation,0.204379600000
1919,inflation,0.145454500000
1920,inflation,0.026455000000
1921,inflation,-0.108247400000
1922,inflation,-0.023121400000
1923,inflation,0.023668600000
1924,inflation,0.000000000000
1925,inflation,0.034682100000
1926,inflation,-0.011173200000
1927,inflation,-0.022598900000
1928,inflation,-0.011560700000
1929,inflation,0.005848000000
1930,inflation,-0.063953500000
1931,inflation,-0.093167700000
1932,inflation,-0.102739700000
1933,inflation,0.007633600000
1934,inflation,0.015151500000
1935,inflation,0.029850700000
1936,inflation,0.014492800000
1937,inflation,0.028571400000
1938,inflation,-0.027777800000
1939,inflation,0.000000000000
1940,inflation,0.007142900000
1941,inflation,0.099290800000
1942,inflation,0.090322600000
1943,inflation,0.029585800000
1944,inflation,0.022988500000
1945,inflation,0.022471900000
1946,inflation,0.181318700000
1947,inflation,0.088372100000
1948,inflation,0.029914500000
1949,inflation,-0.020746900000
1950,inflation,0.059322000000
1951,inflation,0.060000000000
1952,inflation,0.007547200000
1953,inflation,0.007490600000
1954,inflation,-0.007434900000
1955,inflation,0.003745300000
1956,inflation,0.029850700000
1957,inflation,0.028985500000
1958,inflation,0.017605600000
1959,inflation,0.017301000000
1960,inflation,0.013605400000
1961,inflation,0.006711400000
1962,inflation,0.013333300000
1963,inflation,0.016447400000
1964,inflation,0.009708700000
1965,inflation,0.019230800000
1966,inflation,0.034591200000
1967,inflation,0.030395100000
1968,inflation,0.047197600000
1969,inflation,0.061971800000
1970,inflation,0.055702900000
1971,inflation,0.032663300000
1972,inflation,0.034063300000
1973,inflation,0.087058800000
1974,inflation,0.123376600000
1975,inflation,0.069364200000
1976,inflation,0.048648600000
1977,inflation,0.067010300000
1978,inflation,0.090177100000
1979,inflation,0.132939400000
1980,inflation,0.125163000000
1981,inflation,0.089223600000
1982,inflation,0.038297900000
1983,inflation,0.037909800000
1984,inflation,0.039486700000
1985,inflation,0.037986700000
1986,inflation,0.010979000000
1987,inflation,0.044343900000
1988,inflation,0.044194100000
1989,inflation,0.046473000000
1990,inflation,0.061062600000
1991,inflation,0.030642800000
1992,inflation,0.029006500000
1993,inflation,0.027484100000
